COMBUSTÍVEL,ANO,ESTADO,UNIDADE,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
GLP (m3),2013,MARANHÃO,m3,22723.442028985504,20728.905797101448,22073.306159420288,24020.664484617831,22856.646581006473,21503.437560785311,24422.697463768112,23574.195652173912,22061.673913043476,23810.759710475693,22061.269113702849,23428.905714911241,273265.90417999215
GLP (m3),2013,PIAUÍ,m3,12831.742753623188,11393.15036231884,11828.623188405796,12913.937079040717,13194.505186950293,12311.559291647656,13321.277173913042,13218.124999999998,12435.797101449274,12861.036758030115,12531.457211578776,13197.803553971828,152039.01466092953
GLP (m3),2013,CEARÁ,m3,38415.934782608696,34940.246376811592,35288.360507246376,38704.535559141252,38646.769557530002,37215.148541807059,41069.239130434784,41378.737318840576,38195.556159420288,40789.21433556913,38811.309340353138,40122.957861824529,463578.00947158743
GLP (m3),2013,RIO GRANDE DO NORTE,m3,16572.22463768116,15028.17028985507,15488.072463768116,16312.974215428698,16698.596171286419,15830.930163666799,17676.42572463768,17373.132246376808,16709.780797101448,17309.379275239815,16412.292960123621,16870.050292455908,198282.02923762155
GLP (m3),2013,PARAÍBA,m3,18962.317028985504,17026.831521739128,17758.731884057968,18934.851216170078,18877.393165874746,18271.948148111103,20771.394927536232,20589.304347826084,19419.28985507246,20184.724837978207,19171.172822991724,19598.327651246345,229566.28740758955
GLP (m3),2013,PERNAMBUCO,m3,45939.686594202889,41297.938405797104,43547.945652173905,45372.037092999977,46427.658104359012,44702.647389314232,49997.666666666664,50469.717391304344,47402.931159420288,49797.69800710844,47163.184232369582,49630.456744490497,561749.567440207
GLP (m3),2013,ALAGOAS,m3,13578.557971014492,12219.923913043476,13093.492753623188,13554.764544126205,13917.950559348563,13206.387906318238,14827.347826086956,14850.568840579708,14098.309782608696,14851.71748747014,14069.105093461047,14561.778337083215,166829.90501476391
GLP (m3),2013,SERGIPE,m3,10144.193840579708,9146.8297101449261,9663.1902173913022,10130.376975504647,10415.599099366216,10191.605196553972,10999.943840579708,11373.951086956522,10775.487318840578,11211.385265336668,10602.343624587193,10880.493609780768,125535.3997856222
GLP (m3),2013,BAHIA,m3,69638.612318840576,62777.240942028977,66155.14855072464,70665.69398591583,72681.051634577496,72045.058805479173,78064.572463768112,78723.646739130418,73063.97282608696,76525.849369454663,72305.161245872354,74679.181696214509,867325.19057809375
GLP (m3),2013,MINAS GERAIS,m3,109460.01630434781,100966.96195652173,103989.75181159419,114682.53321807888,117035.08844983735,114897.30486211776,124330.40942028984,123400.10507246375,110010.35507246376,120090.67629883203,109572.54626891857,114956.60547166114,1363392.3542071267
GLP (m3),2013,ESPÍRITO SANTO,m3,20073.137681159416,18668.422101449272,19690.068840579708,21668.262122387598,21976.082776907624,20822.293689768976,23022.2518115942,23089.688405797096,20760.903985507248,22635.173230420613,20955.374837821564,21363.411168113547,254725.07065150689
GLP (m3),2013,RIO DE JANEIRO,m3,75229.418478260865,69953.215579710144,77308.903985507233,83706.42801369715,85106.898256214787,83895.376955036569,91750.230072463761,93352.192028985504,83250.884057970994,89601.122526335384,83021.236272614886,88708.653798965519,1004884.5600257628
GLP (m3),2013,SÃO PAULO,m3,262045.36050724634,249668.89311594199,270179.44021739124,291711.08555604768,290822.5375803021,285079.50143533759,312698.04347826081,312294.66847826081,283860.96557971014,308291.71153059072,277865.73267297394,276143.13575556374,3420661.0759076271
GLP (m3),2013,PARANÁ,m3,70738.57427536232,67202.673913043473,72715.224637681153,78604.98387860645,81087.061441808968,80173.601952963189,88180.648550724625,85517.721014492752,76314.617753623184,82741.882418988171,73954.463272444773,72302.828690743729,929534.28180048277
